1,F1000,Fudge,"Invenire percipitur eum ea, in saepe persequeris has, meis dicta albucius an vix. Utinam nonumes necessitatibus vel ne. Ad mea tacimates temporibus. Duo dicam timeam integre in. Ius an libris latine, ludus inimicus quo te, ridens scripta placerat in pri. Nec ex feugiat abhorreant.",0.1,1,95_2542284
2,S2000,Sugar Cookies,"Ei vix patrioque similique referrentur, duo erant copiosae cu. Quo ea tibique legendos, mucius putent sea id, mel eu discere philosophia. Ex copiosae platonem expetendis mea, omnium fastidii electram mel ut, evertitur adolescens appellantur vix ex. No vim facer diceret numquam, vix te nostro probatus. Nemore dolorum te vim.",0.2,1,167_2835774
3,C3000,Chocolate Angelfood Cupcakes,"Id ius detracto constituam, his possit platonem ne. Mel ad dolorum vivendum, vocent iisque salutandi in sit, nobis omnes eum ut. Nam simul tincidunt ei, in viris fabulas eos. Te per animal impetus, prompta platonem eloquentiam ea usu, efficiendi appellantur has in.",0.3,1,430_3150132
4,P4000,Peanut Brittle,"Aliquam maiestatis mea eu. Vel quot rebum adipiscing id, soleat diceret cum eu. In utamur intellegebat cum, dicunt comprehensam his ut. Eu tale tempor convenire sed, duis choro vix id, offendit oportere consulatu cum in. Velit perfecto ne eos, mea iusto soleat singulis eu. Id ubique perpetua pro, sed no novum vitae.",0.4,1,700_3473780
5,T5000,Toasted Marshmallows,"Ne mea velit tation euismod. Nec iudico delicata an. Ne mei magna facilisis conclusionemque, errem offendit mel ad, id pri graeci partiendo dignissim. Sed cu erant dicam accusata. Justo appetere duo cu. Sea no eruditi accusam salutatus, eu posse dicta labores ius.",0.5,1,167_2835774
6,F6000,Fruit Salad,"Vis quem voluptatum in. Id magna inimicus usu. Quas congue facilisi no eum, graeci sensibus explicari usu ex. Eos maiestatis repudiandae contentiones eu. Nec et quaerendum philosophia, natum integre in eum. Laudem voluptatibus at eum, usu et dicta ornatus posidonium.",0.6,1,167_2835774
7,C7000,Cheesecake,"Munere iriure tamquam no quo, sit ei tamquam pericula consetetur. Vel at postea insolens corrumpit. Atqui mentitum philosophia eam ne, per alienum accusam petentium eu, idque putant postulant mel in. Per verear patrioque cu. Mea ex suavitate accommodare, duo ne assum commune ponderum. Vis omittam similique ei, nec in verterem insolens.",0.7,0,430_3151480
8,G8000,Glazed Doughnut,"Mel wisi decore habemus ad, et his debitis iracundia conclusionemque. Per nobis dicam an. Veri ponderum ei pri, has te solum epicuri, id numquam maiestatis nec. Autem habemus maluisset qui ea, id eum equidem erroribus adolescens. Duo ei tota noluisse intellegebat, et nec illud persius molestiae. Ei vis oblique appellantur.Lorem ipsum dolor sit amet, at per veri invidunt. Ut omnis detraxit convenire duo, utinam quaestio no qui. Vix et tempor docendi. Has et tota legere blandit. Omnium feugait ius te. Nam ei equidem dissentiunt, et nec esse dicunt.",0.8,0,167_2835774
9,F9000,Fortune Cookies,"Oratio pericula sapientem te eum. Mei tritani appellantur eu. Duo inani impedit id, ex cum graece corpora vulputate. Ad partem indoctum sit.",0.9,0,167_2835774
10,D10000,Devils Food Cake,"Ius nulla phaedrum ex, aliquip ullamcorper eos ea. Tale semper an duo, ut sea sint timeam. Nisl tibique te pri, cum eu latine appetere. Iusto suscipit vivendum quo in, pri an odio signiferumque.",1,0,430_3151480
11,P11000,Peanut Butter Cups,"Vim et patrioque adolescens. Ludus ubique complectitur ius ne, mollis animal id pri, doming interesset mea et. Mel congue feugiat eu, pri cu inani doming apeirian, facilisis hendrerit ullamcorper ut pri. Sit at verterem adversarium theophrastus, id etiam partem equidem vel, et pri animal commodo dolorum.",1.1,0,326_2841738
12,C12000,Crispy Rice Treats,"Cu inani nonumy vituperatoribus nec, ut sed autem aperiam, vel ei modo habemus convenire. Invidunt accusamus eu mea. Viris soluta vis ad, has tantas tempor scripserit et. Et consul essent tamquam qui, mea in idque altera eirmod. Duo no atqui consul feugiat, in mel phaedrum euripidis. Posse theophrastus id vim, eu sit reformidans complectitur, quodsi officiis dissentiunt an duo.",1.2,0,326_2841738
13,C13000,Cherry Pie,"Putant volumus reformidans in pri. Per eligendi constituto ei, volutpat vulputate conceptam cu cum, sit no omnium elaboraret. Mea suas delenit voluptaria ne, quo no minim viderer incorrupte, soluta assentior vix cu. Eruditi recteque eu mel.",1.3,0,430_3151480
14,A14000,Apple Turnover,"Vel id sumo assum, possim consequuntur sed at. Ridens intellegat cu eam. Iudico evertitur ea eam, summo nostro eos cu. Ei cum stet liberavisse, persius inermis epicuri ea nec, ex percipitur dissentias cum.",1.4,0,430_3151480
15,N15000,Napoleon,"Sed an agam nominati, eam ubique ornatus ut. Et appareat adipisci vulputate vix, purto appareat instructior eu mel, no commune sapientem salutandi vis. Cum te habeo integre percipit, et mei causae offendit. Cibo adolescens percipitur nec ne, quo congue tacimates efficiantur ad, partem facilisi eum et. Ea quis falli splendide mea, in pro stet dolorum appareat.",1.5,0,430_3151480
16,C16000,Chocolate Chip Cookies,"Vel sonet audire ea, no latine scriptorem definitionem duo. Mel probo porro mazim et, ei fugit molestie eleifend vis, mel cu tantas sensibus salutatus. Sit in solum omittantur, vis cu detraxit antiopam delicata. Pro id modus verterem dissentiet.",1.6,0,326_2841738
17,C17000,Chocolate Souffle,"Quo oratio aperiri officiis te. Vel elit luptatum omittantur no, duo ludus congue in, ex pri meis habeo officiis. No mutat commodo eam, eam elitr consetetur id. Eum eu civibus dignissim torquatos. Has at probo mutat omnes, qui et stet cetero dissentiet. Omnis iisque vulputate pri id, suas mollis constituam pro te.",1.7,0,430_3150132
18,W18000,Walnut Brownies,"Sanctus ocurreret eloquentiam ad qui, ut numquam voluptatum vel. Velit dicant animal per cu, eu mel scripta reprimique, denique vituperata has cu. Ea nostrum voluptaria vis. Elit consul delenit his cu, in has dicunt ullamcorper, nam an ludus scaevola molestiae. Nam no adhuc prompta inimicus, accusam nominavi hendrerit et his.",1.8,0,700_3473780
19,A19000,Ambrosia Salad,"Oblique vivendo legendos an vel. Has ne duis reprehendunt. No gubergren deterruisset nec. Minim assueverit his at. Vel ad everti placerat complectitur, eligendi insolens menandri mel ei, his quod congue at. An deleniti molestie verterem pri, vel eu copiosae antiopam.",1.9,0,167_2835774
20,P20000,Peach Cobbler,"Et consul nostrum copiosae duo, usu cibo regione ad, pro amet posse delenit id. Et qui malis complectitur. Mei impedit pertinacia et. Ei per persius inimicus euripidis, ut alii sint purto eum. Duo eripuit offendit temporibus ad, doming putant offendit qui ei. Vix hinc detracto suavitate an, vis no aliquam facilis.",2,0,430_3151480
21,C21000,Chocolate Eclair,"Magna libris id has, solet impetus cu pri. Aliquando assueverit contentiones ius ei, accusata imperdiet vix at, eum labore mediocrem no. Eum viris exerci et. Vix ea quas perfecto assueverit, mei id simul prodesset. Et munere scaevola erroribus quo, sed posse mollis iracundia ea, aeque mucius in mei. In nostrum vulputate usu, an quo solum mucius.",2.1,0,430_3150132
22,C22000,Chocolate Toaster Tarts,"Ut audiam omittam sea, ea suas ferri voluptatibus mel, posse mundi albucius ad per. Unum delenit minimum no mei, at vel animal impetus perfecto. Ex sea nostro expetenda. Prompta consequat voluptaria vel id, tota quando sapientem vim ei, rebum incorrupte et est. Mei odio honestatis id, ut sapientem instructior sed.",2.2,0,95_2542284
23,C23000,Candied Ginger,"Vim mutat aeterno cu, ius at porro minimum salutatus. Ex sonet inermis electram per, mei ne feugiat consulatu concludaturque. Cu euripidis accommodare vis, ut mea exerci vivendo, vix te possit invidunt eleifend. At pri nostrud volumus elaboraret, pro agam insolens consulatu ad, vero omnes salutandi est ut. Pri audiam elaboraret te, at facete luptatum adipiscing pro. Minim errem consulatu cu quo. Ei duo augue dicant consequat, est an case dicam.",2.3,0,700_3473780
24,S24000,Spice Cake,"Noster quaerendum ea nam, consulatu repudiare ea qui. Deleniti erroribus aliquando est in, per an dicta blandit, ubique vulputate temporibus ad sit. Eos unum nobis aperiri id. Minimum platonem argumentum qui in, te eos nonumes cotidieque neglegentur. Justo augue vim ex.",2.4,0,430_3151480
25,T25000,Tapioca Pudding,"An est minimum suscipit assueverit, ex fugit dictas debitis vim. An nam facete iisque admodum. Mea te dolorum recusabo definitiones. Ea aliquip tractatos dissentiet sed. Nec ut molestie voluptua delicatissimi, et invenire hendrerit eos. Ne sit errem graecis expetenda, quo et tempor euismod dissentias, duo te lorem falli.",2.5,0,430_3150132
26,B26000,Banana Pudding,"Usu eu saperet signiferumque necessitatibus. Latine petentium abhorreant an mel. Pro ad esse delenit graecis, sea ne tation oblique repudiare. Odio modus mediocrem in has. Eu has case noluisse invidunt, et iriure inciderint has, pro accusata similique at.",2.6,0,430_3150132
27,V27000,Vanilla Cream Pie   ,"Elitr imperdiet sit ex, congue definitiones nec eu. Ad graece laboramus pertinacia his, et malorum delectus maluisset mei, te vel pertinacia adolescens. Natum fabulas efficiendi id mea. Ex eam iudico appareat, nam insolens argumentum ne, usu ea nostrum interesset. Ex vis placerat postulant, petentium sententiae sed in.",2.7,0,430_3151480
28,P28000,Peanut Butter Cookies,"Et vis graecis delectus, quem impetus iudicabit et nam, sea dicit ullamcorper et. Has rebum facer phaedrum eu, posidonium constituam mel ei. Eu agam exerci voluptua his, nusquam assentior contentiones in qui. Ne nam vide minimum phaedrum, liber aliquid id quo. Pro suas assum primis in, pri fierent recteque et, sit idque scripta ea.",2.8,0,95_2542284
29,O29000,Oatmeal Raisin Cookies,"Solet ignota eos ad, sonet tempor cu vel. In vidisse gloriatur dissentiet has, ut quas aliquando pro. Nonumes voluptua cu eam. Vel ut liber offendit gloriatur, qui vidit solet id, cetero debitis contentiones mel an. An putant mandamus intellegebat nec.",2.9,0,95_2542284
30,C30000,Chocolate Mousse,"Graecis maiorum sed et, cum cu utinam munere quodsi. Homero evertitur mel et, movet semper labores eu pri. Mei bonorum platonem oportere id, vel corpora perfecto ea. Hinc dissentias nec in. Ei nec atomorum percipitur comprehensam. Justo nulla oblique an sea, est soleat legere suavitate ei, dicant pericula ad nec.",3,0,430_3150132
